-18	-0.0026	-0.0028	-0.0028
-17.5	-0.00254	-0.0027	-0.0027
-17	-0.00247	-0.0026	-0.0026
-16.5	-0.00241	-0.0026	-0.0026
-16	-0.00234	-0.0025	-0.0025
-15.5	-0.00228	-0.0024	-0.0024
-15	-0.00221	-0.0023	-0.0023
-14.5	-0.00214	-0.0023	-0.0023
-14	-0.00207	-0.0022	-0.0022
-13.5	-0.00201	-0.0021	-0.0021
-13	-0.00194	-0.0021	-0.002
-12.5	-0.00187	-0.002	-0.002
-12	-0.0018	-0.0019	-0.0019
-11.5	-0.00173	-0.0018	-0.0018
-11	-0.00166	-0.0018	-0.0017
-10.5	-0.00159	-0.0017	-0.0017
-10	-0.00153	-0.0016	-0.0016
-9.5	-0.00146	-0.0015	-0.0015
-9	-0.00138	-0.0015	-0.0015
-8.5	-0.00131	-0.0014	0.0014
-8	-0.00122	-0.0013	-0.0013
-7.5	-0.00108	-0.0012	-0.0012
-7	-0.00079	-0.001	-0.001
-6.5	-0.0001	-0.0008	-0.0007
-6	0.00249	0	0
-5.5	0.00958	0.00247	0.0028
-5	0.027	0.008	0.0109
-4.5	0.0673	0.027	0.0317
-4	0.1461	0.073	0.081
-3.5	0.26	0.17	0.1814
-3.3	0.3	0.267	0.242
-3.1	0.34	0.341	0.314
-3	0.38	0.348	0.35
-2.9	0.4	0.405	0.383
-2.7	0.42	0.452	0.44
-2.5	0.44	0.531	0.486
-2	0.5	0.63	0.575
-1.5	0.54	0.708	0.65
-1	0.59	0.773	0.716
-0.5	0.62	0.835	0.78
0	0.66	0.892	0.841
0.5	0.69	0.947	0.9
1	0.72	0.993	0.956
1.5	0.75	1.033	1.003
2	0.76	1.066	1.04
2.5	0.78	1.09	1.067
3	0.79	1.108	1.091
3.5	0.79	1.12	1.108
4	0.8	1.13	1.124
4.5	0.81	1.14	1.136
5	0.81	1.149	1.147
5.5	0.82	1.156	1.157
6	0.82	1.165	1.165
6.5	0.83	1.172	1.174
7	0.83	1.179	1.179
7.5	0.83	1.185	1.188
8	0.84	1.191	1.195
8.5	0.85	1.2	1.204
9	0.87	1.213	1.218
9.5	0.91	1.239	1.243
10	0.98	1.288	1.292
10.5	1.11	1.398	1.392
11	1.32	1.583	1.57
